searchName;relationNumber;nameLine1;nameLine2;nameLine3;addressLine1;addressLine2;addressLine3;postalCode;city;countryCode;subentityCode;postOfficeBox;postOfficeBoxPostalcode;postOfficeBoxCity;postOfficeBoxCountry;telephoneNumber;telefaxNumber;emailAddress;internetAddress;contactPerson;typeOfRelation;currencyCode;vatCode;languageCode;relationGroup;paymentTerm;creditLimit;vatNumberOrg;vatNumber
NOANNKARINKHOMME0001;10036646064;Ann-Karin Kjøsnes-Haagenstad;-;;Postboks 9   ;;;7551;Hommelvik;NO;;;;;;;;;;;1;;0;;1;;;919796707;NO919796707
NOAMERICANBLYSAK0001;10036665486;American Bistro Karl Johan As;-;;Postboks 260  ;;;1326;Lysaker;NO;;;;;;;;;;;1;;0;;1;;;917856214;NO917856214
NOARMYOUTDOASKER0001;10036722469;Army & Outdoor As;-;;Nedre Berg Vei 19 ;;;1384;Asker;NO;;;;;;;;;;;1;;0;;1;;;819156352;NO819156352
NOAHCONSULTKLEPP0001;10036739141;A. H. Consult Modul Homes Limited;-;;Postboks 160;;;4358;KLEPPE;NO;;;;;;;;;;;1;;0;;1;;;996386333;NO996386333
NOALEKSANDEHOBOL0001;10036759248;Aleksander Abotnes;-;;Skjelfossveien 30 ;;;1827;HOBØL;NO;;;;;;;;;;;1;;0;;1;;;919754265;NO919754265
NOASKHEIMASSELLE0001;10036768322;Askheim As;-;;Postboks 66  ;;;1650;Sellebakk;NO;;;;;;;;;;;1;;0;;1;;;913483626;NO913483626
NOARENDALVIAREND0001;10036770567;Arendal Vintners AS;-;;Postboks 39  ;;;4801;Arendal;NO;;;;;;;;;;;1;;0;;1;;;918504346;NO918504346
NOAQUAMARITTOMRE0001;10036776259;Aqua-Maritime As;-;;Postboks 55  ;;;6398;Tomrefjord;NO;;;;;;;;;;;1;;0;;1;;;919829745;NO919829745
NOASKYOURHATROND0001;10036792876;Ask Your Hair By Dykyy;-;;Postboks 6903 Lerkendal  ;;;7494;Trondheim;NO;;;;;;;;;;;1;;0;;1;;;917283664;NO917283664
NOAUTOMATMASANDN0001;10036845708;Automatmat As;-;;Roald Amundsens Gate 70 ;;;4307;Sandnes;NO;;;;;;;;;;;1;;0;;1;;;917604797;NO917604797
NOANDRESENMMYSEN0001;10036912953;Andresen Mal Og Tapet;-;;Postboks 20  ;;;1851;Mysen;NO;;;;;;;;;;;1;;0;;1;;;971025468;NO971025468
